,release type,album name,name,lyric,link
0,single,"""if you're not the one for me who is""",if you're not the one for me who is,"Oh, oh...Softly, dream about the daysLove me, tell me that you'll stay(I need you)If you're not the one for me who is?(I need you)If you're not the one for me who is?(Jesus, show yourself)Oh, ohYou've made me, don't leave meIn a sense, it's feeling likeThe end of innocenceIt's feeling like the end(I need you)If you're not the one for me who is?(I need you)If you're not the one for me who is?(Jesus, show yourself)Oh, ohIf you're not the one for me who is?(I need you)",https://www.azlyrics.com/lyrics/keshi/ifyourenottheoneformewhois.html
1,single,"""if you're not the one for me who is""",goes to waste,"(When you get what you wantBut not what you need)God, save herSave me from myselfWe're closerClose to no one else(Oh)Goes to wasteGo, goes to wasteGoes to wasteGo, I will try fix youGoes to wasteGo, (I will try fix you)Goes to wasteGoes to wasteGo, I will try fix youStay awayJust stay away (Go, go, go)Stay awayJust stay away (Go, go, go)(Oh)But I don't, I don't love youStay, stay away... (Just)Goes to wasteGo, goes to wasteGoes to wasteGo, I will try fix youGoes to wasteGo, (I will try fix you)Goes to wasteGoes to wasteGo, I will try fix you",https://www.azlyrics.com/lyrics/keshi/goestowaste.html
2,single,"""if you're not the one for me who is""",they don't fly as high as they used to,"(Oh...)If my hero can't find his way homeWhat hope do I have to find my own?I got dreams, dreams to rememberI got dreams, dreams to remember",https://www.azlyrics.com/lyrics/keshi/theydontflyashighastheyusedto.html
3,single,"""good days""",good days,"Take me to good daysAnd my old waysWith my old friendsTrade it all away just to spend a day with themFuck I'm on my own shit, I can own itFuck it's lonely, I'm so lonelyI don't know meTake me to good daysAnd my old waysWith my old friendsTrade it all away just to spend a day with themFuck I'm on my own shit, I can own itFuck it's lonely, I'm so lonelyI don't know meWake up do the same shitFuck, I hate thisI tell people that I made it but I fake itI get dressed and do my day shiftWanna end itGod, I hate this, I hate thisI hate this, I hate thisBuy a bunch of shit that I don't needRoom is getting full but I'm emptyGod, I'm on my knees, someone save meSomeone save me, someone save meFuck, I feel a wayI don't know what day it isPlease don't go awayAfraid that I'ma stay like thisLying on the floorIs there something more to this?That I'm living forMust be something more to thisTake me to good daysAnd my old waysWith my old friendsTrade it all away just to spend a day with themFuck I'm on my own shit, I can own itFuck it's lonely, I'm so lonelyI don't know meTake me to good daysAnd my old waysWith my old friendsTrade it all away just to spend a day with themFuck I'm on my own shit, I can own itFuck it's lonely, I'm so lonelyI don't know meSex don't helpI hate myselfAnd I don't feel the same as I used toSo alone, Inside my homeBut I feel kinda betterWhen I'm with youBut it ain't enough, (no)Even if it's love, (no)I miss how it was, (no)I miss how it wasFuck, I feel a wayI don't know what day it isPlease don't go awayAfraid that I'ma stay like thisLying on the floorIs there something more to this?That I'm living forMust be something more to thisTake me to good daysAnd my old waysWith my old friendsTrade it all away just to spend a day with themFuck I'm on my own shit, I can own itFuck it's lonely, I'm so lonelyI don't know meTake me to good daysAnd my old waysWith my old friendsTrade it all away just to spend a day with themFuck I'm on my own shit, I can own itFuck it's lonely, I'm so lonelyI don't know me",https://www.azlyrics.com/lyrics/keshi/gooddays.html
4,single,"""good days""",say something,"Tell her I don't know herSay that I don't know herEvery time she come aroundSomeone else adore herCome and sayBaby, say something, baby say somethingBaby, say, baby, say somethingBaby, baby, say somethingTell her I don't know herSay that I don't know herEvery time she come aroundSomeone else adore herCome and sayBaby, say something, baby say somethingBaby, say, baby, say somethingBaby, baby, say somethingTell her that I want herI can't say that I want herI don't mean to run aroundHide and just ignore herBut I can'tI won't say nothing, I won't say nothingI won't say, I won't say nothingI won't, I won't sayTell her I don't know herSay that I don't know herEvery time she come aroundSomeone else adore herCome and sayBaby, say something, baby say somethingBaby, say, baby, say somethingBaby, baby, say something",https://www.azlyrics.com/lyrics/keshi/saysomething.html
5,single,"""good days""",godsplan,"I been movin' calm, don't start no trouble with meTryna keep it peaceful is a struggle for meDon't pull up at 6 AM to cuddle with meYou know how I like it when you lovin' on meI don't wanna die for them to miss meYes, I see the things that they wishin' on meHope I got some brothers that outlive meThey gon' tell the story, shit was different with meGod's plan, God's planI hold back, sometimes I won't, heyI feel good, sometimes I don't, hey, don'tI finessed down Weston Road, hey, 'nessedMight go down a G.O.D., yeah, waitI go hard on Southside G, yuh, waitI make sure that north-side eatAnd still, bad thingsIt's a lot of bad thingsThat they wishin' and wishin' and wishin' and wishin'They wishin' on meBad thingsIt's a lot of bad thingsThat they wishin' and wishin' and wishin' and wishin'They wishin' on meHey, yuhShe say, ""Do you love me?""I tell her, ""Only partly. I only love my bed and my mama, I'm sorry""Fifty Dub, I even got it tatted on me81, they'll bring the crashers to the partyAnd you know meTurn the O2 into the O3, dogWithout 40, Oli, there'd be no me'Magine if I never met the broskiesGod's plan, God's planI can't do this on my own, ayy, no, ayySomeone watchin' this shit close, yep, closeI've been me since Scarlett Road, ayy, road, ayyMight go down as G.O.D., yeah, waitI go hard on Southside G, ayy, waitI make sure that north-side eat, yuhAnd still, bad thingsIt's a lot of bad thingsThat they wishin' and wishin' and wishin' and wishin'They wishin' on me, yeah, yeahBad thingsIt's a lot of bad thingsThat they wishin' and wishin' and wishin' and wishin'They wishin' on me, yeah",https://www.azlyrics.com/lyrics/keshi/godsplan.html
6,EP,"""the reaper""",the reaper,"I'm fallin' in deeperShe's callin', my keeperI want it the reaperWill end itJust let me go, noBut something brings me back to youShe wouldn't tell me whyIt's time to say goodbyeWhat did you do, what did you do?Baby, just tell me liesWe running out of timeSay that she can't decideIt's up to you, it's up to youWe gonna live or die?Lay me to rest in peaceDon't want your honesty, yeahI wanna see you whenYou're lying right here next to meShe don't want me but I burn insideShe don't wanna keep this heart of mineShe don't wanna leave, just one timeBut when I fall asleep, gimme cyanideI'm fallin' in deeperShe's callin', my keeperI want it the reaperWill end itJust let me go, noBut something brings me back to youLove me, let me knowStay or should I goKnow that she was never mine to holdReaping what I sowTaking what I oweWhen she come to take another soulI'm fallin' in deeperShe's callin', my keeperI want it the reaperWill end itJust let me go, noBut something brings me back to youI'm fallin' in deeperShe's callin', my keeperI want it the reaperWill end itJust let me go, noBut something brings me back to you",https://www.azlyrics.com/lyrics/keshi/thereaper.html
7,EP,"""the reaper""",like i need u,"Baby, I call in the dead of nightBut you don't need me like I need youPray that I won't be aloneLayin' on the bedWaitin' for your text (Be alone)Babe, there's nothin' leftFaded I'm a wreck (Be alone)Afraid what's coming nextWished we never met (Be alone)Laying us to rest butBaby, I beg you (Be alone)Too soon with a drunk callIn the middle of the night youTook it, my fault (Be alone)Didn't really mean to interrupt (Be alone)But if you change your mind then hit me up (Be alone)Pain, that's an optionNo time for nonsenseCan't ask you nothingDrank, feeling nauseousToo many toxinsNot even consciousSay nothin' moreSay nothin' more, babyWe're better on our ownTonight I'm getting throwed (You don't need me)She never coming homeStay with me (Pray that I won't be alone)Say you'll leave (You don't need me)(Be alone)Pain, that's an optionNo time for nonsenseCan't ask you nothingDrank, feeling nauseousToo many toxinsNot even consciousSay nothin' moreSay nothin' more, babyBaby girl, it's sayingThat we just friends, that we just friendsIf we fucking are we just friendsAre we just friends?",https://www.azlyrics.com/lyrics/keshi/likeineedu.html
8,EP,"""the reaper""",2 soon,"Drank too much, got the sicknessPray to God and his son for forgivenessSame crew but another mistressEvery day, every night getting wastedBut I miss you, what did I do?Fuck it up, laugh it off and I lost youIf I pull through, is it too soon?Turn it up, close my eyes and I'm with youYo, MarvinStop callingSad Iverson is ballin'In the corner of a room by himselfYou are nothing but an empty shellEvery night, he going down to hellFake love in a shit hotelCan't believe how far he fellYou weak on the floor so you call her cell""How you been? "", ""How you doing?""You been good, I been drinkingWay too much, you think that I'd beOver you, over you, over you(8 calls, all you)But I think about it every dayYeah, I never missed her anywaysYeah, I never missed her anywaysDrank too much, got the sicknessPray to God and his son for forgivenessSame crew but another mistressEvery day, every night getting wastedBut I miss you, what did I do?Fuck it up, laugh it off and I lost youIf I pull through, is it too soon?Turn it up, close my eyes and I'm with youCall me up, stay overAnd we'll call it loveDon't matter if it fucks me upThe alcohol is not enoughFuck pride and the other guyI cried, I don't remember whyTonight, I'ma try to hideNo slide, get frostbite8 calls, all you8 ball, all youYeah, I never missed her anywaysYeah, I never missed her anywaysDrank too much, got the sicknessPray to God and his son for forgivenessSame crew but another mistressEvery day, every night getting wastedBut I miss you, what did I do?Fuck it up, laugh it off and I lost youIf I pull through, is it too soon?Turn it up, close my eyes and I'm with youDrank too much, got the sicknessPray to God and his son for forgivenessSame crew but another mistressEvery day, every night getting wastedBut I miss you, what did I do?Fuck it up, laugh it off and I lost youIf I pull through, is it too soon?Turn it up, close my eyes and I'm with you",https://www.azlyrics.com/lyrics/keshi/2soon.html
9,EP,"""the reaper""",i swear i'll never leave again,"Mirror on the wallCan you tell me who I am?I think that I forgotSo remind me once againMaybe, I was going too fastBabe, I'd give it all to go backBaby, I'm betterI promiseKnow that I've neverBeen honestMaybe, I never forgot itDaily reminderTattoos of tigersCigarette lightersLaughter and cider(Daily reminderTattoos of tigersCigarette lightersLaughter and cider)I don't deserve thisAll in your armsAll your forgivenessI don't belongI swear I'll never leave again(Daily reminderTattoos of tigersCigarette lightersLaughter and cider)So this is love?Just hold me closeI'll never leaveI won't let goI swear I'll never leave again",https://www.azlyrics.com/lyrics/keshi/iswearillneverleaveagain.html
10,EP,"""skeletons""",atlas,"I can't take itTired, I'm falling to my kneesI'm weightedCarry me home like you used toWhen I burn my organsPour the BourbonBear my burdens for the momentCan I get some help? That's a hell noBut I bet she'd break her neck for that cell phoneAtlas shrugged his shouldersSaid he'd drop that boulderCall me in the morning when I'm soberFind me in the corner, in a comaBottoms up, never stopI don't think we had enoughOut of touch, maybe I don't give a fuckProbably not, yeah, I think I'm falling offFalling off, yeahI don't belong here, lemme start overI wanna sleep so wake me up when I'm olderDo not disturb, lost when I'm dreamingKick to the curb all my angels and demonsGuess I'm a little bit scared of the things that I don't understandFinding semblance of comfort that nothing will go like I plannedAtlas shrugged his shoulderSaid he'd drop that boulderCall me in the morning when I'm soberFind me in the corner, in a comaBottoms up, never stopI don't think we had enoughOut of touch, maybe I don't give a fuckProbably not, yeah, I think I'm falling offFalling off, yeahBottoms up, never stopI don't think we had enoughOut of touch, maybe I don't give a fuckProbably not, yeah, I think I'm falling offFalling off, yeah",https://www.azlyrics.com/lyrics/keshi/atlas.html
11,EP,"""skeletons""",skeletons,"Stressed outFeeling lost and I don't know what to do nowWhat I chose ain't really gonna work outFallin' six feet underneath the floor nowThink I'm gonna tap out (Ooh-ahh, Ooh-ahh)Feel bad, go to bedWake up even worse yeaSo sad, in my headFeeling like a curseI need medicine, medicine, medicineAll my skeletons out for the taking (Ooh-ahh)Yea, I don't even know if I'ma make itI'm afraid of myself and I hate itAll my skeletons out for the takingSomebody take 'emI wanna run away, the day to dayIs taking its toll on meAnd I'm tearing at the seamsThrow it all awayGive a fuck about what they sayI gotta disagreeThis ain't really fun for meFeel bad, go to bedWake up even worse yeaSo sad, in my headFeeling like a curseI need medicine, medicine, medicineAll my skeletons out for the taking (Ooh-ahh)Yea, I don't even know if I'ma make itI'm afraid of myself and I hate itAll my skeletons out for the takingSomebody take 'em",https://www.azlyrics.com/lyrics/keshi/skeletons.html
12,EP,"""skeletons""",summer,"Feel like summer and I don't wanna miss youIf we don't touch lips not an issueI don't wanna talk bout nobody elseKnow I said no love but I want toFeel like summer and I don't wanna miss youIf we don't touch lips not an issueI don't wanna talk bout nobody elseKnow I said no love but I want toOne timeMaybe twice inOne nightIt's alright we'reBoth alone soGo togetherKiss my wounds butNot foreverFuck aroundFeel my heartbeatFallin' downIn the backseatFill me up 'cause I'm running on emptyAnd it's fine if we're only pretending3 months is all we gotTry not to fall in loveDon't think I had enough but I said it's fine by meFeel like summer and I don't wanna miss youIf we don't touch lips not an issueI don't wanna talk bout nobody elseKnow I said no love but I want toFeel like summer and I don't wanna miss youIf we don't touch lips not an issueI don't wanna talk bout nobody elseKnow I said no love but I want toSaid we goin' bye bye in a minuteI'ma chill on the south side, caught feelingsWhen the leaves turn, no more favorsNice to meet you, catch you later, Yeah3 months is all we gotTry not to fall in loveSaid I ain't had enough but I think that's fine by meFeel like summer and I don't wanna miss youIf we don't touch lips not an issueI don't wanna talk bout nobody elseKnow I said no love but I want toFeel like summer and I don't wanna miss youIf we don't touch lips not an issueI don't wanna talk bout nobody elseKnow I said no love but I want to(Kiss my wounds but, not foreverFill me up cus I'm running on emptyKiss my wounds but, not foreverAnd it's fine if we're only pretending)",https://www.azlyrics.com/lyrics/keshi/summer.html
13,EP,"""skeletons""",xoxosos,"All we ever do is have sex anywaysCome home fight, fuck that's everydayI don't know if we could have any other wayI was thinking 'bout hurting myselfBut girl you know how to do it so well thatI don't know if I could ever get enough babeOn and OffOff and OnI don't wanna fuck aroundSwore we were still in loveGot me seein'Xo's xo's, yeahXo's xo's, yeah(Carry me home like you used to)On and OffOff and OnI don't wanna fuck aroundSwore that we had enoughGot me seein'Xo's xo's, yeahXo's xo's, yeahS-O, SOSS-O, SOSS-O, SOSS-O, SOSDo whatever you sayDo whatever you want me toBaby I'm okayYou can wreck my heart in twoYeah we made mistakesBut I wanna see this throughBaby it's okayLet me put it back for youAll we ever do is have sex anywaysCome home fight, fuck that's everydayI don't know if we could have any other wayI was thinking 'bout hurting myselfBut girl you know how to do it so well thatI don't know if I could ever get enough babeAll we ever do is have sex anywaysCome home fight, fuck that's everydayI don't know if we could have any other wayI was thinking 'bout hurting myselfBut girl you know how to do it so well thatI don't know if I could ever get enough babe",https://www.azlyrics.com/lyrics/keshi/xoxosos.html
14,EP,"""bandaids""",less of you,"HelloAre you awake right now?God, I just need to hear the sound of youPlease, calm me downAnd I know that it's selfish, butYou are the only thing that'sEver made sense to me, II don't wanna do thisI don't know how to do this without youCling to your sideVoices at nightCover my eyesI'm terrifiedNo in betweenA face on a screenAin't an adequate replacementFor you're being with meToo much time in the limelightGimme your all on the land lineWant it so bad but I won't lieAnd it just gets worse in the night timeNever stays for longAnd she's gone in the morningWhen you come homeI just got over being less of youWhen you leave meI'm in piecesMaybe it's better if we cut it looseTell me how your day wasNo, I'm not okayI don't know, I don't know, I don't knowI don't know, I don't know, I don't knowTime never moved so slowBed time, hit your phone upTell me where to go, where to goTell me where to go, where to goToo much time in the limelightGimme your all on the land lineWant it so bad but I won't lieAnd it just gets worse in the night timeNever stays for longAnd she's gone in the morningWhen you come homeI just got over being less of youWhen you leave meI'm in piecesMaybe it's better if we cut it looseI don't know how to do this without youI don't know, I don't know, I don't knowI don't know how to do this without youI don't know, I don't know, I don't knowI don't know how to do this without you",https://www.azlyrics.com/lyrics/keshi/lessofyou.html
15,EP,"""bandaids""",alright,"Said I'm alrightSaid I'm alright,Sa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightRemember when we sayin' all the same shitWish upon the stars that we made itGot too scared and didn't goWant so bad I went alonePray so hard for the make upAll the time spent couldn't save usGot too scared and didn't goWant so bad I went aloneSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightWith or without you I waited my whole lifeI could wait a little longerWith or without you I say that I'm alrightWe just grew apart for the same thingsBut I know we both want the same thingsYou don't wanna deal with the same thingsI don't wanna leave for the same things(For the same old things)Said I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightAnd if I was to blameI swear that I'll pick up the piecesYou say that you don't wanna keep emI'll leave one behind just in caseThrough all the mistakesI'm scared of the fact that you're leavingI know that we both had our reasonsBut I wish that you wanted to staySaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -right",https://www.azlyrics.com/lyrics/keshi/alright.html
16,EP,"""bandaids""",blue,"Impatient, just say itStill waitin', for another roundNew faces, I'm racin'On foot but I'll never make it homeSixth Street for the occasionCan't take all of the changesBlue moon, in different phasesBlue moon, in different placesThree hours, three months awayGone back but not the sameI don't want you to see meCause I'm not what I seemWhy was everyone leaving?Do we say what we mean?Got the 9 to 5 and the bloodlineBetter dress up for the date nightFor the date nightDon't hit my cellThere's an unknown number on my phoneI don't need your helpJust let me lay down on the floorI don't know myselfNot like the time I did beforeNo, noImpatient, just say itStill waitin', for another roundNew faces, I'm racin'On foot but I'll never make it homeSixth street for the occasionCan't take all of the changesBlue moon, in different phasesBlue moon, in different placesTear me to piecesI won't even feel itYou're not what I neededMove on with the seasonsImpatient, just say itStill waitin', for another roundNew faces, I'm racin'On foot but I'll never make it homeSixth street for the occasionCan't take all of the changesBlue moon, in different phasesBlue moon, in different places",https://www.azlyrics.com/lyrics/keshi/blue.html
17,EP,"""bandaids""",right here,"I think some words are overdueCould we just do it over?Can we just talk it out like friends,Because I need your shoulder?I know we ended on the wrong termsBut I said we're past itSo why you texting me with questionsYou don't gotta ask me, like:""I know it's random, how you been?Do you remember 'bout this band you said you listened to?When we were youngerWhen we were softerWhen we were all about each otherHope life is treating you betterBetter, better""Girl, what's with that?Yo, cut the act'Cause I don't got time for laughsNo, I do not want the pastBut if you are ever in needAnd God has you down on your kneesAnd you do not know who to beThen go on and come home to meBecause I'm hereIf you need me I'll be hereRight hereSaid I'm hereIf you need me I'll be hereRight here, ohAnd how you liking this new guy?I know you always want the new lifeI hope you taking care of you, likeThe way you cared for me in my timeSee you got yourself some new friendsNo, you don't need to go to HoustonYou got me thinking back about thenGirl, I wonder why you textingGirl, what's with that?Yo, cut the act'Cause I don't got time for laughsNo, I do not want the pastBut if you are ever in needAnd God has you down on your kneesAnd you do not know who to beThen go on and come home to meBecause I'm hereIf you need me I'll be hereRight hereSaid I'm hereIf you need me I'll be hereRight here, oh",https://www.azlyrics.com/lyrics/keshi/righthere.html
18,EP,"""bandaids""",bandaids,"You should have told meI don't know what to sayWhy are you sorryHow did it get this wayMy heart is brokenDown to my coreIt's not what I wantedI don't know what I want anymoreI'm afraidThat bandaidsAre no goodFor heartacheNot okaySo tell meWhen your world is falling downAfraid of falling downBut fire has started right behind meAnd if I don't jump nowI fear that I can't take the burningI can't hear a soundNothing that I say can hurt meDive into the groundI fear that I can't take the burningI'm afraidThat bandaidsAre no goodFor heartacheNot okaySo tell meWhen your world is falling downFriends of flowersFragile silenceStand beside youStop your cryingI'm afraidThat bandaidsAre no goodFor heartacheNot okaySo tell meWhen your world is falling down",https://www.azlyrics.com/lyrics/keshi/bandaids.html
19,EP,"""always""",always,"(One, two, one, two, three)(Lend me your ears)HeyWhere'd you go?Could've sworn that you were sleepin' overSayI don't knowBut I thought that we were starting overLike we always doLike we always doWas I a foolTo think that we always would(Yes or no, this is your last chance, no beating around the bush)GoneNot a traceAnd it's almost like it never happenedNoNot the sameGuess it hurt me more than I imaginedWe always doLike we always doWas I a foolTo think that we always wouldLike we always doLike we always doWas I a foolTo think that we always would",https://www.azlyrics.com/lyrics/keshi/always.html
20,EP,"""always""",more,"Said she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usSaid I gotta get money, swear I still love youI don't wanna go but you know that I have toTouch road, gotta play showsCrowd go wild for the shit I wroteBut this shit so-so, lose controlGotta change up everything I knowBetter, run ways when you smell that smokeBetter, hold me when my head gon' blow likeHasta la vistaDying to see ya in a dream that I hadWhere I sing in arenasHasta la vistaDying to see yaBaby, it ain't so badWhen there's nothing between usSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usGone so fast, all the bad habitsNot gon' last, better run back, kidJust so sad, worse than last yearJust might crash, just might crashJust mightEverybody left except for you and IShe don't want stories and lullabiesShe don't understand that it's do or dieSaid I can buy it all but it's all a lieNo trade for the things I lostNo train for the boy that stoppedRun ways into these arms of mineNo trade for the things I lostNo train for the boy that stoppedRun ways into these arms of mineSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want us",https://www.azlyrics.com/lyrics/keshi/more.html
21,EP,"""always""",drunk,"All my friends are drunk againAnd I'm stumbling back to bed all by myselfDon't need nobody elseAll my friends are drunk againAnd I'm stumbling back to bed all by myselfDon't need nobody elseSmell like smokeNuit de l'hommeIt's been a while since we last spokeSo tell me, how's it go?Still love bluesNothing newCareless love, I've had a fewHow 'bout you?All my friends are drunk againAnd I'm stumbling back to bed all by myselfDon't need nobody elseAll my friends are drunk againAnd I'm stumbling back to bed all by myselfDon't need nobody elseI never have thoughtWhen you're goneI'd find it hard to carry onAnd it's probably 'causeI fell in loveWay back thenAnd I think about us whenI think about us whenAll my friends are drunk againAnd I'm stumbling back to bed all by myselfI got nobody elseAll my friends are drunk againAnd I'm stumbling back to bed all by myselfI got, I got nobody else",https://www.azlyrics.com/lyrics/keshi/drunk.html
