,release type,album name,name,lyric,link
22,EP,"""always""",talk,"Baby ICan't decide INeed your guidanceI got nobody left to loseWhen I fall I turn to youAnd the world just got confusingAnd I think you need me tooShe want a night out, fucked up, don't know where to find yaDrive so fast and we runnin' red lightsNight out, fucked up, don't know where to find yaShit won't last but I wanna make rightSo can we talk for a minute, talk for a minuteSo can we talk for a minute, talk for a minuteMaybe we don't talk enough, talk (baby I)Maybe we don't talk enough, talk (can't decide I)Maybe we don't talk enough, talk (need your guidance)Maybe we don't talk like we used to, like we- like we used toTalk- enough, talkMaybe we don't talk enough talkMaybe we don't talk enough talkMaybe we don't talk like we used to, like we- like we used toShe got me runnin' round town, I surrender all of meOh my god, I'll give you anything you wantMaybe I forgot why you left in the first placeWay too many friends getting close-Got me runnin' round town, I surrender all of me (got nobody left to lose)Oh my god, I'll give you anything you want (when I fall I turn to you)Maybe I forgot why you left in the first place (and the world just got confusing)Way too many friends getting close on your birthday (and I think you need me too)So can we talk for a minute, talk for a minuteSo can we talk for a minute, talk for a minuteMaybe we don't talk enough, talk (baby I)Maybe we don't talk enough, talk (can't decide I)Maybe we don't talk enough, talk (need your guidance)Maybe we don't talk like we used to, like we- like we used toTalk- enough, talkMaybe we don't talk enough talkMaybe we don't talk enough talkMaybe we don't talk like we used to, like we- like we used to",https://www.azlyrics.com/lyrics/keshi/talk.html
23,EP,"""always""",B.Y.S.,"Said you tired of the distanceYou tired of the fake loveSay you don't really miss himBut I don't really blame yaDon't need nobody elseDon't need nobody help, mmmYou get it on your ownSo why you beside yourself?So afraid to give and take your pain(Know better but I pay no mindGet me inside 'fore I go one time)So afraid to give your love away(Know better but I pay no mindGet me inside 'fore I go one time)You don't gotta worry 'bout nothin'Baby girl, you know that I ain't leavingDon't cry, alrightDon't cry, alrightBaby, go make yo' mindBaby, go make yo' mind upSay it's gonna take some timeKeep me round by your side, yeahSay you wanna spend the nightThen you all undecidedBaby, go make yo' mindBaby, go make yo' mindSay you wanna talk til' the sunriseI don't really mind if we stayin' upSay you got work but it's alrightHope I make you feel a little betterSinging you love songsTell me I got you all wrongSo you can run awaySo afraid toGive and take your pain(Pull me close, love me notWhen you low, hit me up babe)So afraid toGive your love away(Take your clothes, love me lotsOn my phone, hit me up babe)You don't gotta worry bout nothin'Baby girl, you know that I ain't leavingDon't cry, alrightDon't cry, alrightBaby, go make yo' mindBaby, go make yo' mind upSay it's gonna take some timeKeep me round by your side yeahSay you wanna spend the nightThen you all undecidedBaby, go make yo' mindBaby, go make yo' mind",https://www.azlyrics.com/lyrics/keshi/bys.html
24,EP,"""always""",us,"Tell me nowIs that the soundOf all that we were buildingCrashing downAll around usAnd we never saw it comingMaybe we never make it throughSay that you give another youWell I won't take itOr maybe I will'Cause you never know until you doIf I had to guess I think it's youSo if I fake itWould it be trueMaybe we've beenA little too caught upIn things that don't matterAs much as we thoughtMaybe we've beenA little too guardedFrom things that have hurt usA bit more than we thoughtNothing moreThan love and warBut no one knows the differenceAll or noneCall to tell me thatI'm not the one you wantedMaybe we never make it throughSay that you give another youWell I won't take itMaybe I will'Cause you never know until you doIf I had to guess I think it's youSo if I fake itWould it be trueMaybe we've beenA little too caught upIn things that don't matterAs much as we thoughtMaybe we've beenA little too guardedFrom things that have hurt usA bit more than we thoughtUps and downsGoing steady when you're not aroundGo figureTell me nowIs that the sound of us?",https://www.azlyrics.com/lyrics/keshi/us.html
25,album,"""GABRIEL""",GET IT,"Gabriel, ca peut etre tout ce que tu veux, n'aie pas peur de tout vouloir il n'y a pas assez de temps pourBig ice, feelin' so fineShit is on me and we spendin' all night, come andGet it, get it, get it, get itGet it, get it, get itGot my bag right, on my own timeNow these bitches tongue tiedTryna get on this side, better come andGet it, get it, get it, get itGet it, get it, get it, get itParanoid, white noise, think they up to someCome and take more when they give you noneSee me doin' good why you reachin'?'Cause I got everything I ever neededGot my money (Check), lady (Check)Rollie (Check), mary (Check)From the southside with my dawgies on deckAnd we can't sit still less a chain on the neckGive me everything, trade you anything you wantAll this cash on me, doesn't matter what it costGive me everything, trade you anything you wantAll this cash on me, all-all this cash on meBig ice, feelin' so fineShit is on me and we spendin' all night, come andGet it, get it, get it, get itGet it, get it, get itGot my bag right, on my own timeNow these bitches tongue tiedTryna get on this side, better come andGet it, get it, get it, get itGet it, get it, get it, get itOohYou don't even know which one you areDo you?Havin' trouble tellin them apart",https://www.azlyrics.com/lyrics/keshi/getit.html
26,album,"""GABRIEL""",SOMEBODY,"Baby, why the hesitation?'Cause I know that you can feel it, tooYou want more and I can taste itLet me show you what I wanna doTryna get trapped in your leg lockGo another round, make the bed rockYeah, bite the neck, I'ma make it sweatNever give you no rest, never give you no restYou needed somebody, baby put it on meI can be that body, said, I can be that bodyYou needed somebody, baby put it on meI can be that body, said, I can be that, girlBaby it's you, baby it's you(Fuck around, put you down, get it loud, 'nother round)Baby it's you(You needed somebody, baby put it on me)Tell me where you want, tell, tell me where you want itBaby it's you, baby it's you(Fuck around, put you down, get it loud, 'nother round)Baby it's you(You needed somebody, baby put it on me)Tell me where you want, tell, tell me where you want itBack it up girl, now you speakin' my languageShow me your favorite spots, but you don't gotta say it(Pull me close, hold it tight, let me go, through the night)Saddle up girl, why you keepin' me waitin'?Hold on, if you wanna get offIf you want love, we gon' make itYou needed somebody, baby put it on meI can be that body, said, I can be that bodyYou needed somebody, baby put it on meI can be that body, said, I can be that, girlBaby it's you, baby it's you(Fuck around, put you down, get it loud, 'nother round)Baby it's you(You needed somebody, baby put it on me)Tell me where you want, tell, tell me where you want itBaby it's you, baby it's you(Fuck around, put you down, get it loud, 'nother round)Baby it's you(You needed somebody, baby put it on me)Tell me where you want, tell, tell me where you want itPull me closePull me closeHold it tightPull me, pull me closePull me closePull me closeHold it tightPull me, pull me close",https://www.azlyrics.com/lyrics/keshi/somebody.html
27,album,"""GABRIEL""",WESTSIDE,"Just don't let me goSwear you'll keep me closeWhen I'm flying to the WestsideWhen I catch another red eyeJust don't let me goSwear you'll keep me closeWhen I'm flying to the WestsideWhen I catch another red eyeYou need to weigh your optionsAll you do is talk aboutThe dream or whatchucallit?Is it everything you wanted?Is it big enough for the two of us?What's a couple more, maybe two of us?Am I big enough for the two of us?Is it room enough, is it room enough?But I can't stop time, I tried toIt just goes past and I can't seem to catch itNo, I can't seem, no, I can'tAnd I can't slow down, I tried toI move too fast and I just end up crashingNa na na naJust don't let me goSwear you'll keep me closeWhen I'm flying to the WestsideWhen I catch another red eyeJust don't let me goSwear you'll keep me closeWhen I'm flying to the WestsideWhen I catch another red eyeSo where the fuck you been?And where you think you goin'?Is leaving you a sin or not?Am I better never knowingWhere the fuck is home? Where the fuck I'm goin'?Where the fuck my friends? Fuck I'm waiting for?Think it's time to go, think it's time to call youThink it's time to go, think it's time to call youBut I can't stop time, I tried toIt just goes past and I can't seem to catch itNo, I can't seem, no, I can'tAnd I can't slow down, I tried toI move too fast and I just end up crashingNa na na naJust don't let me goSwear you'll keep me closeWhen I'm flying to the WestsideWhen I catch another red eyeJust don't let me goSwear you'll keep me closeWhen I'm flying to the WestsideWhen I catch another red eye",https://www.azlyrics.com/lyrics/keshi/westside.html
28,album,"""GABRIEL""",TOUCH,"Wrong but it feels so rightWrong but it feels so rightIt don't make sense but it feels so niceShow me, show me, ohShow me your chest on mineShow me your legs up highI don't wanna kiss all night, kiss all nightWrong but it feels so rightWrong but it feels so rightIt don't make sense but it feels so niceShow me, show me, ohShow me your chest on mineShow me your legs up highI don't wanna kiss all night, kiss all nightIf you want me, say you want meTreading softly on my body while you tell meThat you're taking it slow, but you're pulling me closeIf I bow to the throne, is it better than us?Give me comfort, give me warningWhen I wake you're always missing in the morningBut you don't need to run, if you're looking for loveSaid it's only a touch, is it better than us to you?Wrong but it feels so rightWrong but it feels so rightIt don't make sense but it feels so niceShow me, show me, ohShow me your chest on mineShow me your legs up highI don't wanna kiss all night, kiss all nightCan't talk with your tongue in my mouthI was thinking 'bout us when you're running aboutSaw another one's car at the front of the houseKnew I never meant much but it's killing me nowTell me all the things I wanna hear, so come hereBeautiful, anyone would doBut you don't need to run, if you're looking for loveIf it's only a touch, was it better than us to you?Wrong but it feels so rightWrong but it feels so rightIt don't make sense but it feels so niceShow me, show me, ohShow me your chest on mineShow me your legs up highI don't wanna kiss all night, kiss all nightWrong, but it feelsâ wrongâ wrongâ itâWrong, but it feels so rightâ rightIt don't make sense, but it feels so niceâ niceShow me, show mâ, âice",https://www.azlyrics.com/lyrics/keshi/touch.html
29,album,"""GABRIEL""",MILLI,"I just made a milli, I'ma say it loudI just made a milli, I'ma say it loudI just made a milli, I'ma, milli, I'maI just made a, I just made a, I just made aI just made a milli, I'ma say it loudI just made a milli, I'ma say it loudI just made a milli, I'ma, milli, I'maI just made a, I just made a, I just made aHad to let 'em knowBeen caught up, I been workin' too hard with mi amigosI ain't need to see ya, I'm just bein' me thoughHeard you threw my name around for statusSaid you wanna call and talk about itBut I ain't got the timeI just pass you by (Bye)I could cut ties with the silenceI can cut ties, I don't mind itStay pressed for a text back'Bout some advice that you sent uninvited'Cause I like all my vicesSaid I like all my vicesWhatever the price isI just made a milli, I'ma say it loudI just made a milli, I'ma say it loudI just made a milli, I'ma, milli, I'maI just made a, I just made a, I just made aI just made a milli, I'ma say it loudI just made a milli, I'ma say it loudI just made a milli, I'ma, milli, I'maI just made a, I just made a, I just made a",https://www.azlyrics.com/lyrics/keshi/milli.html
30,album,"""GABRIEL""",PÉRE,"Je voudrais bien me dire : "" Ne t'inquiÃ¨tes pas ""Que tout sera bienTout ira pour le mieux car j'avais peurÃ ce moment-lÃ , quand j'avais dix-huit ansJe venais de quitter mon paysJe venais de quitter ma maisonEt tous mes amis pour arriver ici, dans ce pays Ã©trangerJ'ai Ã©tÃ© mis dans une Ã©cole et je ne parle pas la langueJe voudrais me rassurer que tout sera bienEt qu'un jour j'aurai une belle familleEt deux fils qui sont beaux et intelligents",https://www.azlyrics.com/lyrics/keshi/pere.html
31,album,"""GABRIEL""",HELL/HEAVEN,"Tell me more, I adore youCan't recall life before youAnymore, I can't afford toGive it all, I do it for youHold me down for a minuteThat's a lotta 0's for a 26 but I won't admit itExcept in the dark, step out the lightWay too bright for meBitch, I might, bitch, I might leaveBut not youTell you everything when I get another second toTell me more, I adore youCan't recall life before youAnymore, I can't afford toGive it all, I do it for youI'm devotedHours turn to minutes when I listen to you talkin'Never noticedBut you must've been a godsend'Cause I needed you, yeah, I needed youTellin' me I should've tied my endsTellin' me I gotta watch my dosageTook too much and thought that I was deadAnd I thought of you, yeah, I thought of youIs this hell or heaven?Might be just the medicineYou decide, you decide itYou decide, you decide, you de-Is this hell or heaven?Might be just the medicineYou decide, you decide itYou decide, you de-",https://www.azlyrics.com/lyrics/keshi/hellheaven.html
32,album,"""GABRIEL""",ANGOSTURA,"Babe, I can't lie, you been on my mind againGo 'round one more time, yeah, we can do things you likeYou don't need a reason for itTell me what you need, make it easy for yaAll of this talk ain't enoughAre you down to see me or what?When you come through, you know I got youBabe, I got youSo tell me when you roll through the HGoddamn, girl, you look amazingBabe, we can drink it all awayWhatchu say, whatchu say, whatchu-?Pour me up another, let it go, IKick it with my brothers and it's alrightI just want a lover for the whole night, yeahWhole night, yeah, whole nightPour me up another, let it go, IKick it with my brothers and it's alrightI just want a lover for the whole nightFor the whole night, yeah, whole nightBody get hot like saunaIce on the wrist, big commaBaby girl, come bring it back, back, backYou can take all the time you wanna'Cause I ain't in a rush to meet yaSmall talk never meant much to me, nahWe're face to face with it, loveGo waist to waist with it, yaWhen you come through, you know I got youBabe, I got youSo tell me when you roll through the HGoddamn, girl, you look amazingBabe, we can drink it all awayWhatchu say, whatchu say, whatchu say?Pour me up another, let it go, IKick it with my brothers and it's alrightI just want a lover for the whole night, yeahWhole night, yeah, whole nightPour me up another, let it go, IKick it with my brothers and it's alrightI just want a lover for the whole nightFor the whole night, yeah, whole night",https://www.azlyrics.com/lyrics/keshi/angostura.html
33,album,"""GABRIEL""",UNDERSTAND,"Never thought that I'd findThat the one in my life would be so nearAnd now you're hereI got you, you got meWhen it's us, babe, you make me feel completeYou're all I needOoh oohMaybe we can try it if you let meTake you by the handYou're the only one who understandsSo I guess that it's timeI asked you to be mine for all my daysI hope you'll stayI'll admit that I'm scared'Cause I've never really cared as much as thisIt's worth the riskOoh oohMaybe we can try it if you let meTake you by the handYou're the only one who understandsOoh ooh oohOoh oohMaybe we can try it if you let meTake you by the handYou're the only one who understands",https://www.azlyrics.com/lyrics/keshi/understand.html
34,album,"""GABRIEL""",LIMBO,"I just been goin' through motionsBack and forth like a oceanI am a fraud, I am the shitHoping that nobody noticeBang chest in the morningHead down in the nightDrink less if I wantedStrike up with the lightAnd square up, I'm the mightiestMyself in the fightHurt twice but I tried itNo advice for this shitMight die for this shitDo I feel alive, feel alive, feel alive?Feel more like limboHands out my windowChasin' that sunsetThat's more my tempoYeah, that's more my tempoOohBut this is all that I amI only show you the best of meThe best of meLooked in my demons and saw myselfPut all my meaning in someone elseOutta sight, outta mindDon't know where to find itDon't know where to hideBut I stillEat good, drink good, feel good, s'all goodCan't hear my head when I'm sat beside yaFucked lungs and a liverGood looks in the mirrorDo I feel alive, feel alive, feel alive?Feel more like limboHands out my windowChasin' that sunsetThat's more my tempoThat's more my tempoOohBut this is all that I amI only show you the best of meThe best of meOohTryin' but I'm just a manHopin' it won't get the best of meThe best of me",https://www.azlyrics.com/lyrics/keshi/limbo.html
35,album,"""GABRIEL""",ANGEL,"IJust wanted to believeThat maybe you'd be good to meI'm just misunderstood, you seeYouNever had a clueAll the days that I spent loving youWho'm I supposed to give 'em to?I let you inAgain and againSo tell me, babyWhat could I do?What could I do?I thought you were an angelAnd lost myself when I caught sight of youI'mBidding you farewellYou'd never stand a chance in hellThey've got another clienteleYou'reTreading at the shoreI bet you've never drowned beforeIn someone that you'd do it forI let you inAgain and againSo tell me, babyWhat could I do?What could I do?I thought you were an angelAnd lost myself when I caught sight of you",https://www.azlyrics.com/lyrics/keshi/angel.html
36,album,"""GABRIEL""",GABRIEL,"WaitHold meBefore you leaveStayLove meOr I'll bleedI don't want you to goKnow that I'll miss you soBefore you leaveCome see GabrielLayOn meWhile he breathesAnd he growsStronglyAnd now I seeWhen it's my time to goKnow that I'll miss you soBefore I leaveI'll see Gabriel",https://www.azlyrics.com/lyrics/keshi/gabriel.html
37,Not specified,Other songs,age of worry,"Close your eyes and clone yourselfBuild your heart an armyTo defend your innocenceIf you do everything wrongDon't be scared to walk aloneDon't be scared to like itThere's no time that you must be homeSo sleep where darkness fallsAlive in the age of worrySmile in the age of worryGo out in the age of worryAnd say, ""Worry, why should I care?""No, your fight is not with themYours is with your time hereDream your dreams, but don't pretendBe friends with what you areGive your heart then change your mindYou're allowed to do itBecause God knows it's been done to you andSomehow you got through itAlive in the age of worrySmile in the age of worryGo out in the age of worryAnd say, ""Worry, why should I care?""",https://www.azlyrics.com/lyrics/keshi/ageofworry.html
38,Not specified,Other songs,as long as it takes you,"Baby, I'll be waiting here forYou to change your mindI'll be here as long as it takes youBaby, I'll be waiting here forYou to change your mindI'll be here as long as it takes youSo this is it?I never thought that you wouldTake your things and leaveI must admit I've been a mess since thenI need you here with meBaby, I'll be waiting here forYou to change your mindI'll be here as long as it takes youBaby, I'll be waiting here forYou to change your mindI'll be here as long as it takes youDay by day, it's all the sameBaby, won't you call my nameDay by day, it's all the sameBaby, won't you call my nameBaby, I'll be waiting here forYou to change your mindI'll be here as long as it takes youBaby, I'll be waiting here forYou to change your mindI'll be here as long as it takes you",https://www.azlyrics.com/lyrics/keshi/aslongasittakesyou.html
39,You May Also Like,You May Also Like,beside you,"It's just you and I, and no other guysWe got no interruptions and we both feelin' the vibeSay I'm not your typeBut I know what's on your mindWe can talk about nothin' or we can see what it's likeDon't lie, baby don't lieHis love never felt rightSwitch sides and I'm beside youIf you say it's alright (Don't lie, baby don't lie)Way too many heads, need a steady viewSmokin' cigarettes at the rendezvousNever meant to cross youBut my jaw hit the floor with the one, twoThink I want youYou say this ain't love but it's still the same loveMake love, anything to sate yaDon't be shy, you decideSay can I, make you mine?Don't lie, baby don't lieHis love never felt rightSwitch sides and I'm beside yaIf you say it's alright (lemme show you how it feel like)Don't lie, baby don't lieHis love never felt rightSwitch sides and I'm beside yaIf you say it's alright (Don't lie, baby don't lie)(Ahh) Your skin, so fine (Ah-ahh, ahh)Come close baby put it on mine(Ahh) Your skin, so fine (Ah-ahh, ahh)Come close baby put it on mineIt's just you and I and no other guysWe got no interruptions and we both feelin' the vibeSay I'm not your typeBut I know what's on your mindWe can talk about nothin' or we can see what it's likeNo-ohh-ohh, yeah-yeah-yeahDon't lie, baby don't lieHis love never felt rightSwitch sides and I'm beside ya (Ahh)If you say it's alright (Ah-ahh, ahh)(Lemme show you what it feel like)(Don't lie, baby don't lie)",https://www.azlyrics.com/lyrics/keshi/besideyou.html
40,Not specified,Other songs,just friends,"Baby girl is saying that we just friendsThat we just friendsIf we fucking, are we just friends?Are we just friends?If he leave your room, are you just friends?Are you just friends?'Cause I don't give a fuck 'boutBeing just friends, being just friendsAnd what about the feelings that we had? (Yeah)Throw them all away into the trash, (Yeah)Fuckin' wreck my heartI'll take you back (Yeah)I don't want nobody elseBut me to have youIf I can't have you, no one canIf I can't have you, no one canSay it ain't so, say it ain't soSay it ain't so, say it ain't soSay it ain't so, say it ain't soSay it ain't so, say it ain't so",https://www.azlyrics.com/lyrics/keshi/justfriends.html
41,Not specified,Other songs,magnolia,"Oh, oh, oh, oh, oh, oh, ohOh, oh, oh, oh, oh, oh, ohYou so beautifulYou oh, oh, ohOh, oh, oh, oh, ohYou oh, oh, ohOh, oh, oh, oh, ohOh, oh, oh, oh, oh, oh, ohOh, oh, oh, oh, oh, oh, ohOh, oh, oh, oh, oh, oh, ohOh, oh, oh, oh, oh, oh, ohOh, oh, oh, oh, oh, oh, ohOh, oh, oh, oh, oh, oh, ohYou so beautiful, beautifulBeautiful, beautifulOh, oh, oh, oh, oh, oh, ohOh, oh, oh, oh, oh, oh, oh",https://www.azlyrics.com/lyrics/keshi/magnolia.html
42,Not specified,Other songs,Onoffonoff,"I'm lost and I'm lost andI'm lost and I'm lost andWe lost in, emotionI'm sorry, unspokenStop talking, explosionMake up sex, so brokenDon't leave me, don't leave meI know you, you need meI know I'm not that easy, but babe I'm on my kneesSo lost that we can't seeI want you next to meYou want to see me bleedYou want to hear me screamSo loud, but no soundWe fall down, we fall downOn and off, and off and onCan we talk, what's going on?When we stop, we never stopIt's every day, every dayOn and off, and off and onCan we talk, what's going on?When we stop, we never stopIt's every day, every dayCareful, slowly, darling what's the hurry?Love me, hate me, kiss me when you hurt meDancing when we're burningEvery day she learningWays to cut my heart into the shape she wants to turn meBaby, that's a no noHow low can you go, go?Stick around to find how bad she'll wreck my fucking heart, thoughSo loud, but no soundWe fall down, we fall downOn and off, and off and onCan we talk, what's going on?When we stop, we never stopIt's every day, every dayOn and off, and off and onCan we talk, what's going on?When we stop, we never stopIt's every day, every day",https://www.azlyrics.com/lyrics/keshi/onoffonoff.html
43,Not specified,Other songs,over u,"Moving on, never feel the sameNothing seems to cover up the painBaby, I've been tryingBut you can't hear what I sayBaby, babyMoving on, never feel the sameNothing seems to cover up the painBaby, I've been tryingBut you can't hear what I sayBaby, babyMoving on, never feel the sameNothing seems to cover up the painBaby, I've been tryingBut you can't hear what I sayBaby, babyMoving on, never feel the sameNothing seems to cover up the painBaby, I've been tryingBut you can't hear what I sayBaby, (Aya), babyMoving on, never feel the sameNothing seems to cover up the painBaby, I've been tryingBut you can't hear what I sayBaby, babyMoving on, never feel the sameNothing seems to cover up the painBaby, I've been tryingBut you can't hear what I sayBaby, baby",https://www.azlyrics.com/lyrics/keshi/overu.html
44,Not specified,Other songs,Seventeen,"You are something I wantYou take, take me away, my babyI'm sorry if everything is crazyI don't know what's happened to me latelyNow I'm getting older and it makes meThink of how it used to be so easyWe were only seventeen, yeahYou were lying next to me, yeahI just wanted you to know thatI was young and in control, yeahEverything was easier and yeahNever knew what feelings were, yeahUsed to be just make-believe, yeahNow I'm faded in the cornerYeah-yeah-yeahYou are something I wantYou take, take me away, my babyWe were only seventeen, yeahYou were lying next to me, yeahI just wanted you to know thatI was young and in control, yeahEverything was easier and yeahNever knew what feelings were, yeahUsed to be just make-believe, yeahNow I'm faded in the cornerYeah-yeah-yeah",https://www.azlyrics.com/lyrics/keshi/seventeen.html
45,You May Also Like,You May Also Like,War With Heaven,"Did you get over me?It's been a long time nowFeels like eternityIt's only been 2 hoursYou out here in them streetsAnd I got a lot to sayDamn I'm missing my babyFeels like everybody's telling me I'm doing too muchAnd I know I can be dramatic when I want, but so what?And not to cause a panic, but I'm needing your loveAnd I can't help but feel a way when you're away-ay, yeah(I just might)Might go to war with HeavenFor keeping me away from you, so longAyy-ayy-ayyMight go to war with Heaven'Cause I don't know what else I'd doIf I was away from you, so longThese drinks take over meThey messin' with my headMy insecurities'Cause you ain't in my bedMy bed, I got a place for youReally gotta get away from youIt ain't easy, what's a man to do?What's a man to do?Feels like everybody's telling me I'm doing too muchAnd I know I can be dramatic when I want, but so what?And not to cause a panic, but I'm needing your loveAnd I can't help but feel a way when you're away (I just might)Might go to war with HeavenFor keeping me away from you, so longAyy-ayy-ayyMight go to war with Heaven'Cause I don't know what else I'd doIf I was away from you, so long(Sha-na-na, na-na)(Sha-na-na, na-na, oh-oh)(Sha-na-na, na-na)(Sha-na-na, na-na, so long)(Sha-na-na, na-na, sha-na-na, na-na)'Cause I don't know what else I'd doIf I was away from you, so long",https://www.azlyrics.com/lyrics/keshi/warwithheaven.html
